Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",,
Southern and Eastern Scalefish and Shark Fishery (SESSF,451,40040006,Diomedea exulans,Wandering albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,1085,40040007,Thalassarche melanophris,Black-browed albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,1008,40040008,Phoebetria fusca,Sooty albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,1009,40040009,Phoebetria palpebrata,Light-mantled albatross; Light- mantled Sooty albatross,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,755,40040010,Diomedea antipodensis gibsoni,Gibson's albatross,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,628,40040011,Diomedea antipodensis,Antipodean albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,799,40040012,Diomedea sanfordi,Northern Royal albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,1084,40040013,Thalassarche impavida,Campbell albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Medium,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,1031,40040014,Thalassarche carteri,Indian yellow-nosed albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
Southern and Eastern Scalefish and Shark Fishery (SESSF,595,40041003,Daption capense,Cape petrel,Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 2.5. Protected species (PS) list for the SESSF CTS otter trawl sub-fishery.,Table 2.5 Protected Species,,,Low,Table 2.26,,,,,,https://www.afma.gov.au/sites/default/files/2023-02/ERA%20report%20for%20CTS-%20Otter%20trawl%20fishery%20%28published%20June%202021%29.pdf,,,
