Industry,ERA species ID,CAAB code,Scientific_name,Common_name,IUCN system,Number,EPBC status,Seabird,Migratory listed,Marine listed,Cetacean listed,Bioregional_conservation_status,Type,Report_Table_Num,F Overall Risk,F Overall Risk table reference,Tentative final risk score,Tentative final risk score table reference,Risk Score,Potential_Impact,Potential_Impact_Significance,Consequence Score (1-6),Notes,EIA assessment,"Bookmark name in Tess' ""BASS STRAIT"" folder",,
Southern Squid Jig Su-Fishery,,40040011,Diomedea antipodensis,Antipodean Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040012,Diomedea sanfordi,Northern Royal albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040013,Thalassarche impavida,Campbell Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040014,Thalassarche carteri,Indian Yellow-nosed Albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040016,Thalassarche salvini,Salvin's albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040017,Thalassarche eremita,Chatham albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040018,Diomedea amsterdamensis,Amsterdam Albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40040019,Diomedea dabbenena,Tristan Albatross,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40042001,Fregetta grallaria,White-bellied Storm- Petrel (Tasman Sea),Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40042002,Fregetta tropica,Black-bellied Storm- Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40042003,Garrodia nereis,Grey-backed storm petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40042004,Oceanites oceanicus,Wilson's storm petrel (subantarctic),Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40042007,Pelagodroma marina,White-faced Storm-Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128002,Anous stolidus,Common noddy,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128005,Stercorarius antarcticus,Great Skua,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128012,Larus dominicanus,Kelp Gull,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128013,Chroicocephalus novaehollandiae,Silver Gull,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128014,Larus pacificus,Pacific Gull,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128018,Anous albivitta,grey ternlet,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128022,Sternula albifrons,Little tern,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128023,Onychoprion anaethetus,Bridled Tern,Terrstrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128024,Thalasseus bengalensis,Lesser crested tern,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128025,Thalasseus bergii,Crested Tern,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128026,Hydroprogne caspia,Caspian Tern,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128028,Onychoprion fuscatus,Sooty tern,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128029,Sterna hirundo,Common tern,Terrestrial/Freshwater/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128032,Sterna paradisaea,Arctic tern,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128033,Sterna striata,White-fronted Tern,Terrestrial/Freshwater/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128034,Sterna sumatrana,Black-naped tern,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40128001,Anous minutus,Black Noddy,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40045002,Phaethon rubricauda,Red-tailed Tropic bird,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40048003,Phalacrocorax fuscescens,Black faced cormorant,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40047004,Sula dactylatra,Masked Booby,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041002,Calonectris leucomelas,streaked shearwater,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041003,Daption capense,Cape Petrel,Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041004,Fulmarus glacialoides,Southern fulmar,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041005,Halobaena caerulea,Blue Petrel,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041006,Lugensa brevirostris,Kerguelen Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041007,Macronectes giganteus,Southern Giant-Petrel,Terrestrial/Marine,,Endangered,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041008,Macronectes halli,Northern Giant-Petrel,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041013,Pachyptila turtur,Fairy Prion,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041017,Pelecanoides urinatrix,Common Diving-Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041018,Procellaria aequinoctialis,White-chinned Petrel,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041019,Procellaria cinerea,Grey petrel,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041020,Procellaria parkinsoni,Black Petrel,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041021,Procellaria westlandica,Westland Petrel,Terrestrial/Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041022,Pseudobulweria rostrata,Tahiti Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041025,Pterodroma cervicalis,White-necked Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041029,Pterodroma lessonii,White-headed petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041030,Pterodroma leucoptera,Gould's Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041031,Pterodroma macroptera,Great-winged Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041032,Pterodroma mollis,Soft-plumaged Petrel,Terrestrial/Marine,,Vulnerable,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041033,Pterodroma neglecta,Kermadec Petrel (western),Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041034,Pterodroma nigripennis,Black-winged Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041035,Pterodroma solandri,Providence Petrel,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041036,Puffinus assimilis,Little Shearwater (Tasman Sea),Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041037,Thalassarche bulleri,Buller's albatross,Terrestrial/Marine,,Vulnerable,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041038,Ardenna carneipes,Flesh-footed shearwater,Marine,,Listed,Seabird,Listed,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
Southern Squid Jig Su-Fishery,,40041040,Puffinus gavia,Fluttering Shearwater,Terrestrial/Marine,,Listed,Seabird,Not Listed for Migratory,Listed,Not Listed for Cetacean,,Table 7: List of protected (TEP) species known to occur within the area of SSJF,7,,,,,Negligible or minor,,,,,https://www.afma.gov.au/sites/default/files/2023-02/Ecological%20Risk%20Assessment%20for%20Effects%20of%20Fishing%20in%20the%20Southern%20Squid%20Jig%20Sub-fishery%202007.pdf,,,
