"","Industry","Name","IUCN.system","EPBC.status","Seabird","IUCN.system2"
"561","Victoria Offshore Windfarm project","Rostratula Australis","Terrestrial/Freshwater/Marine","Endangered","Seabird","Mixed"
"562","Victoria Offshore Windfarm project","Porzana Pusilla","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"563","Victoria Offshore Windfarm project","Limosa Lapponica","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"564","Victoria Offshore Windfarm project","Limosa Limosa","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"565","Victoria Offshore Windfarm project","Limicola Falcinellus","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"566","Victoria Offshore Windfarm project","Hydroprogne Caspia","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"567","Victoria Offshore Windfarm project","Tringa Nebularia","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"568","Victoria Offshore Windfarm project","Actitis Hypoleucos","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"569","Victoria Offshore Windfarm project","Sterna Hirundo","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"570","Victoria Offshore Windfarm project","Calidris Ferruginea","Terrestrial/Freshwater/Marine","Critically Endangered","Seabird","Mixed"
"571","Victoria Offshore Windfarm project","Charadrius Bicinctus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"572","Victoria Offshore Windfarm project","Numenius Madagascariensis","Terrestrial/Freshwater/Marine","Critically Endangered","Seabird","Mixed"
"573","Victoria Offshore Windfarm project","Pachyptila Turtur Subantarctica","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"574","Victoria Offshore Windfarm project","Sternula Nereis","Terrestrial/Marine","Listed","Seabird","Mixed"
"575","Victoria Offshore Windfarm project","Plegadis Falcinellus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"576","Victoria Offshore Windfarm project","Calidris Tenuirostris","Terrestrial/Marine","Critically Endangered","Seabird","Mixed"
"577","Victoria Offshore Windfarm project","Charadrius Leschenaultii","Terrestrial/Freshwater/Marine","Vulnerable","Seabird","Mixed"
"578","Victoria Offshore Windfarm project","Pluvialis Squatarola","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"579","Victoria Offshore Windfarm project","Tringa Brevipes","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"580","Victoria Offshore Windfarm project","Thinornis Cucullatus","Freshwater/Marine","Listed","Seabird","Mixed"
"581","Victoria Offshore Windfarm project","Gallinago Hardwickii","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"582","Victoria Offshore Windfarm project","Numenius Minutus","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"583","Victoria Offshore Windfarm project","Egretta Garzetta","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"584","Victoria Offshore Windfarm project","Anseranas Semipalmata","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"585","Victoria Offshore Windfarm project","Tringa Stagnatilis","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"586","Victoria Offshore Windfarm project","Biziura Lobata","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"587","Victoria Offshore Windfarm project","Pezoporus Occidentalis","Terrestrial","Endangered","Not seabird","Terrestrial"
"588","Victoria Offshore Windfarm project","Thalassarche Bulleri Platei","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"589","Victoria Offshore Windfarm project","Neophema Chrysogaster","Terrestrial/Freshwater","Critically Endangered","Not seabird","Mixed"
"590","Victoria Offshore Windfarm project","Charadrius Veredus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"591","Victoria Offshore Windfarm project","Pandion Haliaetus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"592","Victoria Offshore Windfarm project","Pluvialis Fulva","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"593","Victoria Offshore Windfarm project","Calidris Melanotos","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"594","Victoria Offshore Windfarm project","Gallinago Stenura","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"595","Victoria Offshore Windfarm project","Calidris Canutus","Terrestrial/Freshwater/Marine","Endangered","Seabird","Mixed"
"596","Victoria Offshore Windfarm project","Calidris Ruficollis","Terrestrial/Marine","Listed","Seabird","Mixed"
"597","Victoria Offshore Windfarm project","Arenaria Interpres","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"598","Victoria Offshore Windfarm project","Calidris Alba","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"599","Victoria Offshore Windfarm project","Calidris Acuminata","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"600","Victoria Offshore Windfarm project","Gallinago Megala","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"601","Victoria Offshore Windfarm project","Xenus Cinereus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"602","Victoria Offshore Windfarm project","Numenius Phaeopus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"603","Victoria Offshore Windfarm project","Haliaeetus Leucogaster","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"604","Victoria Offshore Windfarm project","Tringa Glareola","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"605","Victoria Offshore Windfarm project","Prototroctes Maraena","Freshwater/Marine","Vulnerable","Not seabird","Mixed"
"606","Victoria Offshore Windfarm project","Galaxiella Pusilla","Freshwater","Endangered","Not seabird","Freshwater"
"607","Victoria Offshore Windfarm project","Nannoperca Variegata","Freshwater","Vulnerable","Not seabird","Freshwater"
"608","Victoria Offshore Windfarm project","Nannoperca Obscura","Freshwater","Endangered","Not seabird","Freshwater"
"609","Victoria Offshore Windfarm project","Lamna Nasus","Marine","Listed","Not seabird","Marine"
"610","Victoria Offshore Windfarm project","Isurus Oxyrinchus","Marine","Listed","Not seabird","Marine"
"611","Victoria Offshore Windfarm project","Carcharodon Carcharias","Marine","Vulnerable","Not seabird","Marine"
"612","Victoria Offshore Windfarm project","Euastacus Bispinosus","Freshwater","Endangered","Not seabird","Freshwater"
"613","Victoria Offshore Windfarm project","Neophoca Cinerea","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"614","Victoria Offshore Windfarm project","Balaenoptera Musculus","Marine","Endangered","Not seabird","Marine"
"615","Victoria Offshore Windfarm project","Balaenoptera Edeni","Marine","Listed","Not seabird","Marine"
"616","Victoria Offshore Windfarm project","Lagenorhynchus Obscurus","Marine","Listed","Not seabird","Marine"
"617","Victoria Offshore Windfarm project","Balaenoptera Physalus","Marine","Vulnerable","Not seabird","Marine"
"618","Victoria Offshore Windfarm project","Megaptera Novaeangliae","Marine","Listed","Not seabird","Marine"
"619","Victoria Offshore Windfarm project","Orcinus Orca","Marine","Listed","Not seabird","Marine"
"620","Victoria Offshore Windfarm project","Arctocephalus Forsteri","Marine","Listed","Not seabird","Marine"
"621","Victoria Offshore Windfarm project","Caperea Marginata","Marine","Listed","Not seabird","Marine"
"622","Victoria Offshore Windfarm project","Balaenoptera Borealis","Marine","Vulnerable","Not seabird","Marine"
"623","Victoria Offshore Windfarm project","Mirounga Leonina","Terrestrial/Marine","Vulnerable","Not seabird","Mixed"
"624","Victoria Offshore Windfarm project","Eubalaena Australis","Marine","Endangered","Not seabird","Marine"
"625","Victoria Offshore Windfarm project","Physeter Macrocephalus","Marine","Listed","Not seabird","Marine"
"626","Victoria Offshore Windfarm project","Arctocephalus Tropicalis","Marine","Endangered","Not seabird","Marine"
"627","Victoria Offshore Windfarm project","Pteropus Poliocephalus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"628","Victoria Offshore Windfarm project","Pseudomys Shortridgei","Terrestrial","Endangered","Not seabird","Terrestrial"
"629","Victoria Offshore Windfarm project","Potorous Tridactylus Trisulcatus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"630","Victoria Offshore Windfarm project","Pseudomys Fumeus","Terrestrial","Endangered","Not seabird","Terrestrial"
"631","Victoria Offshore Windfarm project","Miniopterus Orianae Bassanii","Terrestrial","Critically Endangered","Not seabird","Terrestrial"
"632","Victoria Offshore Windfarm project","Isoodon Obesulus Obesulus","Terrestrial","Endangered","Not seabird","Terrestrial"
"633","Victoria Offshore Windfarm project","Antechinus Minimus Maritimus","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"634","Victoria Offshore Windfarm project","Chelonia Mydas","Terrestrial/Marine","Vulnerable","Not seabird","Mixed"
"635","Victoria Offshore Windfarm project","Dermochelys Coriacea","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"636","Victoria Offshore Windfarm project","Caretta Caretta","Terrestrial/Marine","Endangered","Not seabird","Mixed"
"637","Victoria Offshore Windfarm project","Delma Impar","Terrestrial","Vulnerable","Not seabird","Terrestrial"
"638","Cumulative","Gallinago Stenura","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"639","Cumulative","Gallinago Megala","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"640","Cumulative","Gallinago Hardwickii","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"641","Cumulative","Plegadis Falcinellus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"642","Cumulative","Pandion Haliaetus Cristatus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"643","Cumulative","Apus Pacificus","Terrestrial","Listed","Not seabird","Terrestrial"
"644","Cumulative","Pandion Haliaetus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"645","Cumulative","Ardenna Grisea","Terrestrial/Marine","Listed","Seabird","Mixed"
"646","Cumulative","Ardenna Tenuirostris","Terrestrial/Marine","Listed","Seabird","Mixed"
"647","Cumulative","Ardenna Carneipes","Marine","Listed","Seabird","Marine"
"648","Cumulative","Sterna Hirundo","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"649","Cumulative","Diomedea Sanfordi","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"650","Cumulative","Diomedea Antipodensis","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"651","Cumulative","Thalassarche Salvini","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"652","Cumulative","Thalassarche Steadi","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"653","Cumulative","Thalassarche Impavida","Terrestrial/Marine","Vulnerable","Seabird","Mixed"
"654","Cumulative","Philomachus Pugnax","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"655","Cumulative","Chlidonias Leucopterus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"656","Cumulative","Thalasseus Bergii","Terrestrial/Marine","Listed","Seabird","Mixed"
"657","Cumulative","Charadrius Bicinctus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"658","Cumulative","Charadrius Veredus","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
"659","Cumulative","Numenius Minutus","Terrestrial/Freshwater","Listed","Not seabird","Mixed"
"660","Cumulative","Calidris Ruficollis","Terrestrial/Marine","Listed","Seabird","Mixed"
"661","Cumulative","Calidris Acuminata","Terrestrial/Freshwater/Marine","Listed","Seabird","Mixed"
